"year","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpop18plus","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2023","01937","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.4",,,"10.0","12.9","98","100","POINT (-70.9840508 42.5857233)","01937","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01938","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.6",,,"10.4","12.8","11448","13785","POINT (-70.8395935 42.686464)","01938","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01940","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"10.0","12.4","10139","13326","POINT (-71.0383332 42.5341456)","01940","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02071","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"9.9","12.5","714","968","POINT (-71.2689507 42.1064249)","02071","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01944","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.8","12.3","4212","5395","POINT (-70.7671544 42.5766364)","01944","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01834","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","13.0","5384","6752","POINT (-71.0159351 42.7539)","01834","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02035","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.0","12.6","14745","18618","POINT (-71.2458016 42.0613376)","02035","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01887","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.6","12.9","18362","23349","POINT (-71.1645158 42.5646465)","01887","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02072","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.4","23655","29281","POINT (-71.1036499 42.119006)","02072","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01890","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.7",,,"9.7","11.8","16678","22970","POINT (-71.1443188 42.4527518)","01890","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01945","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"10.0","12.4","16016","20462","POINT (-70.8515419 42.5043168)","01945","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01835","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.2",,,"10.9","13.5","11541","14578","POINT (-71.0944211 42.7513275)","01835","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02038","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"10.0","12.5","25871","33261","POINT (-71.4105714 42.0848585)","02038","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02081","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.7","12.1","15994","20584","POINT (-71.257972 42.1474034)","02081","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02043","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.7","12.1","18091","24272","POINT (-70.8812702 42.2160985)","02043","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01901","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.4",,,"12.0","14.8","2248","2794","POINT (-70.9463791 42.4604187)","01901","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01949","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.1","12.6","7977","9779","POINT (-71.0062955 42.6103219)","01949","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01840","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","12.9","5489","7121","POINT (-71.1604026 42.7067633)","01840","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02090","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.6",,,"9.5","11.8","12252","16266","POINT (-71.2167679 42.2196452)","02090","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01841","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.1",,,"10.0","12.3","39222","53654","POINT (-71.1483002 42.7150794)","01841","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02045","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.4","13.2","8823","10072","POINT (-70.879517 42.2858696)","02045","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01902","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.8","13.2","37925","50725","POINT (-70.9415353 42.4710392)","01902","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01950","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.3","12.7","14923","18289","POINT (-70.8910952 42.8123584)","01950","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02093","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"10.0","12.5","9570","12178","POINT (-71.356858 42.0526709)","02093","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01951","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.4","13.1","3035","3582","POINT (-70.8502113 42.7733507)","01951","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01843","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.1",,,"9.9","12.3","21053","28346","POINT (-71.1603896 42.6899881)","01843","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02047","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"9.9","12.6","326","371","POINT (-70.6950496 42.1455335)","02047","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01904","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.7","13.2","15622","19944","POINT (-70.9714409 42.4914468)","01904","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02108","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.6",,,"9.5","11.7","3836","4228","POINT (-71.0657367 42.3550969)","02108","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01905","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.5","12.9","20496","27761","POINT (-70.9723434 42.4623782)","01905","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01952","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.8","13.3","7932","9236","POINT (-70.8414987 42.8447944)","01952","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01844","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","12.9","41825","52970","POINT (-71.1786505 42.7426414)","01844","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02048","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.8","13.3","18585","23860","POINT (-71.2164203 42.017302)","02048","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02109","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.5",,,"9.5","11.6","3609","3921","POINT (-71.0504161 42.3669188)","02109","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02050","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.4","13.0","20722","25956","POINT (-70.7103308 42.1151393)","02050","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01906","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.4","23628","28619","POINT (-71.0127853 42.4696749)","01906","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01960","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.8","13.2","44645","54155","POINT (-70.9694427 42.53431)","01960","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01845","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.3","12.7","24910","31855","POINT (-71.0913339 42.6739092)","01845","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02110","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.0",,,"9.0","11.1","2644","2921","POINT (-71.0519272 42.3582538)","02110","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01850","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.7",,,"11.5","14.0","12359","16670","POINT (-71.3033091 42.6560445)","01850","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02052","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.6","12.0","9284","12799","POINT (-71.3053065 42.1845991)","02052","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01907","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","12.9","11936","15148","POINT (-70.9065967 42.4741451)","01907","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01965","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.2",,,"10.8","13.8","273","329","POINT (-70.824723 42.5641012)","01965","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02111","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.3",,,"9.3","11.4","8736","9716","POINT (-71.060527 42.3506804)","02111","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01966","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","12.9","6053","6992","POINT (-70.6202498 42.6406993)","01966","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01851","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"10.0","12.1","25089","32691","POINT (-71.3367568 42.6279987)","01851","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02053","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.1",,,"9.9","12.4","10097","13115","POINT (-71.4303445 42.1562029)","02053","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01908","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.2","12.7","2919","3334","POINT (-70.9260711 42.4282342)","01908","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02113","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.9","12.3","6829","7126","POINT (-71.0552217 42.3652641)","02113","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01913","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.3",,,"11.0","13.6","14146","17366","POINT (-70.9557921 42.8512771)","01913","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
